Average,BestPic_Gross,Best_Picture,DirectorName,No_Of_Movies,Total_Gross,_id
27700000.0,72000000.0,1408,Mikael Hafstrom,6,166300000.0,5cbf57e7f1b3f84eb09ba550
20900000.0,54600000.0,Crash,Paul Haggis,4,83500000.0,5cbf57e7f1b3f84eb09ba551
80700.0,80700.0,Waking Sleeping Beauty,Don Hahn,1,80700.0,5cbf57e7f1b3f84eb09ba552
124600000.0,222500000.0,Big Hero 6,Don Hall,2,249200000.0,5cbf57e7f1b3f84eb09ba553
9500000.0,9500000.0,Thank You for Your Service (2017),Jason Dean Hall,1,9500000.0,5cbf57e7f1b3f84eb09ba554
90300000.0,90300000.0,Planes,Klay Hall,1,90300000.0,5cbf57e7f1b3f84eb09ba555
36600000.0,80000000.0,Dear John,Lasse Hallstrom,16,585700000.0,5cbf57e7f1b3f84eb09ba556
1100000.0,3200000.0,Carrington,Christopher Hampton,3,3400000.0,5cbf57e7f1b3f84eb09ba557
90000000.0,256000000.0,The Blind Side,John Lee Hancock,5,450100000.0,5cbf57e7f1b3f84eb09ba558
1900000.0,6700000.0,Amour,Michael Haneke,8,15400000.0,5cbf57e7f1b3f84eb09ba559
30700000.0,35600000.0,Larry Crowne,Tom Hanks,2,61500000.0,5cbf57e7f1b3f84eb09ba55a
37000000.0,116800000.0,8 Mile,Curtis Hanson,11,406800000.0,5cbf57e7f1b3f84eb09ba55b
37500000.0,192800000.0,Twilight,Catherine Hardwicke,8,300100000.0,5cbf57e7f1b3f84eb09ba55c
5900000.0,15800000.0,The Gospel,Rob Hardy,3,17800000.0,5cbf57e7f1b3f84eb09ba55d
760000.0,1300000.0,Wetherby,David Hare,3,2300000.0,5cbf57e7f1b3f84eb09ba55e
32900000.0,117500000.0,Die Hard 2,Renny Harlin,16,526700000.00000006,5cbf57e7f1b3f84eb09ba55f
26500000.0,26500000.0,Woman in Black 2,Tom Harper,1,26500000.0,5cbf57e7f1b3f84eb09ba560
229000.0,229000.0,Imaginary Heroes,Dan Harris,1,229000.0,5cbf57e7f1b3f84eb09ba561
14400000.0,20200000.0,Appaloosa,Ed Harris,2,28800000.0,5cbf57e7f1b3f84eb09ba562
491000.0,744000.0,Seymour: An Introduction,Ethan Hawke,3,1500000.0,5cbf57e7f1b3f84eb09ba563
73600000.0,154500000.0,Horton Hears a Who!,Jimmy Hayward,3,220800000.0,5cbf57e7f1b3f84eb09ba564
15000000.0,44700000.0,The Artist,Michel Hazanavicius,3,45100000.0,5cbf57e7f1b3f84eb09ba565
634000.0,819000.0,Sleeping with Other People,Leslye Headland,2,1300000.0,5cbf57e7f1b3f84eb09ba566
42700000.0,140100000.0,Look Who's Talking,Amy Heckerling,9,384000000.0,5cbf57e7f1b3f84eb09ba567
26400000.0,51900000.0,The Odd Life of Timothy Green,Peter Hedges,4,105700000.0,5cbf57e7f1b3f84eb09ba568
48500000.0,95000000.0,42,Brian Helgeland,5,242600000.0,5cbf57e7f1b3f84eb09ba569
19700000.0,24400000.0,15 Minutes,John Herzfeld,3,59200000.0,5cbf57e7f1b3f84eb09ba56a
1800000.0,5500000.0,Rescue Dawn,Werner Herzog,10,17900000.0,5cbf57e7f1b3f84eb09ba56b
28700000.0,75400000.0,Garfield,Peter Hewitt,6,171900000.0,5cbf57e7f1b3f84eb09ba56c
